"property1","property2.href","property2.text","property3","property4","property5","property6","index","url"
"108","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821185","Andrew Udahl","Elk Grove,CA","258,247,234","739","782","114","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"112","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838690","Steven Weber","San Antonio,TX","254,268,216","738","769","115","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"113","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317818114","Chris Osborne","Bedford,OH","279,241,217","737","753","116","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"113","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317844212","Paul Droluk","Copiague,NY","246,255,236","737","753","117","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"113","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820432","Jason Milligan","Arlington,TX","201,266,270","737","753","118","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"113","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317830595","Charlie Standish","Lawrenceburg,IN","243,215,279","737","753","119","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"113","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317829566","Ivan Miyasato","Clovis,CA","246,236,255","737","753","120","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"118","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824967","Brian Mar","Elk Grove,CA","235,228,273","736","733","121","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"118","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817830","Joe Tremper","Laurel,MD","258,279,199","736","733","122","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"118","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826189","Derwin F Pitre","Lafayette,LA","235,243,258","736","733","123","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"121","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811531","Aaron Pawloski","Brentwood,CA","267,213,255","735","717","124","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"121","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317809176","Denny Rittenhouse","Columbia,PA","267,244,224","735","717","125","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"121","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817566","Scott Halvarson","Lakewood,WA","256,267,212","735","717","126","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"121","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813587","Val Wise","Riverside,CA","235,234,266","735","717","127","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"125","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317800898","Chris Stenger","Bloomington,IL","224,231,279","734","703","128","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"125","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317837938","Justin Harris","Middletown,OH","255,200,279","734","703","129","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838399","Jacob Wright","Terre Haute,IN","243,277,213","733","686","130","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820674","Tony G Carson","Wooster,OH","288,214,231","733","686","131","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822628","Frank Testa","Akron,OH","267,227,239","733","686","132","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827649","Thomas Cook","Eagle Point,OR","267,244,222","733","686","133","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813199","Tim Mack","Indianapolis,IN","245,269,219","733","686","134","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"127","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317815019","Dan Bock","Albert Lea,MN","244,255,234","733","686","135","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"131","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=305194176","Randy Macomber","Yakima,WA","235,218,231","684","N/A","136","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"133","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817859","Jeff R Walther","Saint Cloud,MN","239,213,280","732","664","137","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"133","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824220","Jeff Vainauskas","Oak Forest,IL","217,238,277","732","664","138","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"133","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317805224","Michael Kruse Jr","Sioux Falls,SD","208,279,245","732","664","139","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"133","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317828748","Jerry Frishkorn","San Diego,CA","298,187,247","732","664","140","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"133","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811675","Tony Reynaud","Harwinton,CT","255,220,257","732","664","141","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317843935","Willie Wells","Albuquerque,NM","263,235,233","731","640","142","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317828586","Dennis Strong","Lockwood,NY","218,278,235","731","640","143","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317804120","Peter Zmozynski","Depew,NY","248,246,237","731","640","144","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317844867","Kerry Painter","Henderson,NV","206,268,257","731","640","145","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317815398","Eric Kempel","Bismarck,ND","277,216,238","731","640","146","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813267","Jay S Heinzelman","Evansville,WI","238,247,246","731","640","147","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826036","Dave Husted","Milwaukee,OR","235,217,279","731","640","148","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"138","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317842953","Rob Piroozshad","Glendale,CA","257,244,230","731","640","149","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"146","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317806857","Jim M Janz","Beaver Dam,WI","267,198,265","730","621","150","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"146","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831873","Michael Webber","Harvest,AL","257,225,248","730","621","151","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
